Date,Time,Open,High,Low,Close,Volume,MA_200,EMA_12-26,EMA_50-200,%K,%D,RSI
2013.10.01,00:00,1327.47,1361.77,1251.67,1322.87,3276556,903.0929450581165,-45.89323663719142,494.38440191764096,23.176871853175225,27.384548752097867,29.137796123881557
2013.11.01,00:00,1323.33,1327.45,1226.77,1252.92,1352094,906.5738112764437,-57.26209488828272,485.23462013163714,11.815819392561316,19.702777326620094,20.21633290464817
2013.12.01,00:00,1249.5,1267.76,1182.42,1208.26,1414428,909.5756639005588,-69.07938161049628,475.0347898052446,4.892790580202387,13.295160608646299,20.3730704251429
2014.01.01,00:00,1225.12,1278.93,1213.57,1243.85,1344662,912.9017766975682,-74.71162184458967,466.18865921585086,11.725280795433592,9.477963589399089,23.685624118713477
2014.02.01,00:00,1243.65,1345.32,1240.76,1326.21,1256516,917.0142963324183,-71.70290269073598,460.00239699616077,28.30616556509604,14.974745646910664,31.388521159841147
2014.03.01,00:00,1335.44,1388.91,1282.38,1283.82,1402563,920.6641043291107,-71.9100554597594,452.69781671207295,20.53288431061804,20.18811022371588,30.38423380596089
2014.04.01,00:00,1284.67,1331.04,1268.41,1291.08,1267161,924.3498346342938,-70.67372152711664,445.78534440527505,25.39904275539879,24.746030877037615,33.79550171069606
2014.05.01,00:00,1291.3,1315.55,1242.15,1249.23,1311430,927.5824730956441,-72.23814683314163,437.8113263737456,16.29734513274335,20.74309073292005,31.090613722347612
2014.06.01,00:00,1249.56,1329.34,1240.56,1327.17,1168137,931.5584683882248,-66.42317353349586,432.33635855295347,47.741223084667624,29.81253699093658,41.46775998720907
2014.07.01,00:00,1326.64,1345.05,1280.48,1282.96,1138353,935.0550010410783,-64.63704717584187,425.66591111809305,40.538728506073504,34.85909890782815,43.700654727517815
2014.08.01,00:00,1283.12,1322.53,1272.61,1286.66,1150035,938.5535582446497,-62.205899207015136,419.2630044180836,41.478651864231445,43.252867818324184,53.79876796714581
2014.09.01,00:00,1287.47,1289.71,1204.31,1207.83,1411871,941.232925824305,-65.88068755956374,410.7018108516544,10.111018264295039,30.70946621153332,41.25710364989633
2014.10.01,00:00,1208.21,1255.13,1161.42,1171.52,1481917,943.5243394976951,-70.90554239350286,401.3353094654817,3.9618718864001554,18.517180671642205,32.47303725333208
2014.11.01,00:00,1167.31,1207.63,1131.44,1165.88,1498958,945.7368336320465,-74.48426863213308,392.1040055678686,13.376315687264556,9.149735279319907,35.88217947161172
2014.12.01,00:00,1158.49,1238.25,1141.74,1186.83,1921429,948.1357706108321,-74.76806533040872,383.78307489496876,21.513186002252638,12.950457858639107,38.50314380366439
2015.01.01,00:00,1186.94,1307.53,1167.33,1283.56,1760930,951.4733251321175,-66.42200217002187,378.54909505973046,59.08261156639604,31.324037751971066,52.47728081239286
2015.02.01,00:00,1280.42,1285.55,1190.3,1212.78,1436393,954.0733915487134,-64.77238570909185,371.35128667482684,31.592030139433685,37.39594256936078,50.350637664070504
2015.03.01,00:00,1213.85,1223.18,1142.7,1183.57,1526229,956.3569398915123,-65.07194676438485,363.50480977424206,20.247019070182887,36.973886925337524,45.27704650871255
2015.04.01,00:00,1183.76,1224.13,1175.14,1183.97,1558122,958.6217464597561,-64.53317611808302,355.91091498381195,20.40237697595835,24.08047539519163,37.21323265012586
2015.05.01,00:00,1184.55,1232.22,1169.66,1190.42,1417118,960.9281967437387,-62.861111638865395,348.73730150596407,27.611066897617174,22.75348764791946,41.0237189097759
2015.06.01,00:00,1190.47,1205.68,1162.63,1171.83,1447697,963.0267221492736,-62.317686629349055,341.2334624435782,18.90829081035527,22.30724489464359,38.783649052841476
2015.07.01,00:00,1174.14,1175.0,1069.72,1095.48,1707709,964.344665212465,-67.27235151785499,331.7280611610594,9.35604547270548,18.625134393559296,36.420003886307825
2015.08.01,00:00,1095.72,1170.01,1080.94,1134.71,2182851,966.0398426730376,-67.25811629924442,323.7049336466232,23.604401990338875,17.289579424466535,31.753195039629873
2015.09.01,00:00,1134.6,1156.65,1098.71,1114.47,1913945,967.5167596613657,-68.09507598495702,315.3544960183086,17.701040306949885,16.88716258999807,33.26513180111638
2015.10.01,00:00,1115.56,1191.44,1104.59,1141.74,2073778,969.2503242418496,-65.79941675313694,308.08637239156303,30.28468104789538,23.863374448394705,36.249952559869435
2015.11.01,00:00,1141.45,1142.94,1052.67,1064.37,2017243,970.1967886772542,-69.42293824668945,298.7882727940638,4.590755709016645,17.525492354620628,36.350662201248284
